Days,Month,length,angle
1,Jan,218.3463432,0.017221135
2,Jan,213.0210976,0.03444227
3,Jan,226.9931208,0.051663405
4,Jan,225.3132458,0.06888454
5,Jan,250.8682269,0.086105675
6,Jan,249.4875441,0.10332681
7,Jan,232.7067338,0.120547945
8,Jan,226.498159,0.13776908
9,Jan,254.1178985,0.154990215
10,Jan,243.0058797,0.17221135
11,Jan,219.425078,0.189432485
12,Jan,215.4042352,0.20665362
13,Jan,215.3176078,0.223874755
14,Jan,227.7880546,0.24109589
15,Jan,223.7205183,0.258317025
16,Jan,240.7303764,0.27553816
17,Jan,218.4848639,0.292759295
18,Jan,224.5907441,0.309980431
19,Jan,222.5971179,0.327201566
20,Jan,218.1070519,0.344422701
21,Jan,228.6063872,0.361643836
22,Jan,237.7837966,0.378864971
23,Jan,225.7592782,0.396086106
24,Jan,259.4340447,0.413307241
25,Jan,246.1378817,0.430528376
26,Jan,253.8677398,0.447749511
27,Jan,228.2748008,0.464970646
28,Jan,240.5637772,0.482191781
29,Jan,247.3709443,0.499412916
30,Jan,229.7102887,0.516634051
31,Jan,254.467996,0.533855186
1,Feb,262.6898,0.551076321
2,Feb,240.6152545,0.568297456
3,Feb,215.3025806,0.585518591
4,Feb,270.1271737,0.602739726
5,Feb,250.035491,0.619960861
6,Feb,255.335882,0.637181996
7,Feb,255.0802635,0.654403131
8,Feb,248.1141929,0.671624266
9,Feb,232.9137348,0.688845401
10,Feb,235.8855853,0.706066536
11,Feb,234.5395846,0.723287671
12,Feb,252.3861304,0.740508806
13,Feb,257.7705489,0.757729941
14,Feb,245.2144106,0.774951076
15,Feb,247.0794477,0.792172211
16,Feb,248.9124546,0.809393346
17,Feb,244.5265391,0.826614481
18,Feb,239.6303227,0.843835616
19,Feb,229.2759037,0.861056751
20,Feb,229.2308221,0.878277886
21,Feb,220.8325914,0.895499022
22,Feb,236.8881961,0.912720157
23,Feb,242.6715375,0.929941292
24,Feb,239.7975978,0.947162427
25,Feb,264.9839184,0.964383562
26,Feb,253.8855229,0.981604697
27,Feb,246.5064381,0.998825832
28,Feb,235.2238684,1.016046967
1,Mar,251.9921473,1.033268102
2,Mar,246.583654,1.050489237
3,Mar,248.2283788,1.067710372
4,Mar,230.8210538,1.084931507
5,Mar,228.7295687,1.102152642
6,Mar,252.9641837,1.119373777
7,Mar,233.4107245,1.136594912
8,Mar,260.2120274,1.153816047
9,Mar,234.8125182,1.171037182
10,Mar,253.8613442,1.188258317
11,Mar,255.6142752,1.205479452
12,Mar,247.7612356,1.222700587
13,Mar,244.9380973,1.239921722
14,Mar,239.7539722,1.257142857
15,Mar,240.1585107,1.274363992
16,Mar,242.1212506,1.291585127
17,Mar,232.1660665,1.308806262
18,Mar,227.3982313,1.326027397
19,Mar,221.8346303,1.343248532
20,Mar,265.8570561,1.360469667
21,Mar,232.5930158,1.377690802
22,Mar,223.4599081,1.394911937
23,Mar,242.6721614,1.412133072
24,Mar,236.5081483,1.429354207
25,Mar,235.1276215,1.446575342
26,Mar,233.5040595,1.463796477
27,Mar,237.7819247,1.481017613
28,Mar,232.4252207,1.498238748
29,Mar,230.590602,1.515459883
30,Mar,226.5881142,1.532681018
31,Mar,248.0585558,1.549902153
1,Apr,264.4142886,1.567123288
2,Apr,257.1932755,1.584344423
3,Apr,240.6521725,1.601565558
4,Apr,259.3504331,1.618786693
5,Apr,258.7759156,1.636007828
6,Apr,261.6687822,1.653228963
7,Apr,251.6441297,1.670450098
8,Apr,239.0291826,1.687671233
9,Apr,226.1338663,1.704892368
10,Apr,220.6346899,1.722113503
11,Apr,218.2912782,1.739334638
12,Apr,247.1214615,1.756555773
13,Apr,223.103831,1.773776908
14,Apr,237.2204585,1.790998043
15,Apr,224.7881777,1.808219178
16,Apr,250.6230599,1.825440313
17,Apr,236.7483755,1.842661448
18,Apr,244.4327361,1.859882583
19,Apr,245.7570019,1.877103718
20,Apr,239.4250896,1.894324853
21,Apr,224.93247,1.911545988
22,Apr,226.9280722,1.928767123
23,Apr,223.7386133,1.945988258
24,Apr,228.0204823,1.963209393
25,Apr,221.4851048,1.980430528
26,Apr,229.1064967,1.997651663
27,Apr,229.3739185,2.014872798
28,Apr,211.8862058,2.032093933
29,Apr,259.0453653,2.049315068
30,Apr,224.8589459,2.066536204
1,May,248.5281429,2.083757339
2,May,233.0112297,2.100978474
3,May,234.8277534,2.118199609
4,May,232.9950585,2.135420744
5,May,231.4345693,2.152641879
6,May,230.1405659,2.169863014
7,May,213.278276,2.187084149
8,May,204.9509175,2.204305284
9,May,239.8902569,2.221526419
10,May,236.6999141,2.238747554
11,May,231.0102718,2.255968689
12,May,214.3538389,2.273189824
13,May,211.0774926,2.290410959
14,May,208.6159952,2.307632094
15,May,212.3664003,2.324853229
16,May,223.1167783,2.342074364
17,May,222.8681275,2.359295499
18,May,222.7536815,2.376516634
19,May,221.2145632,2.393737769
20,May,217.1354834,2.410958904
21,May,222.274423,2.428180039
22,May,219.6856882,2.445401174
23,May,228.8424547,2.462622309
24,May,231.2862211,2.479843444
25,May,237.6006623,2.497064579
26,May,234.4810357,2.514285714
27,May,216.3112231,2.531506849
28,May,226.7962072,2.548727984
29,May,212.5346634,2.565949119
30,May,220.2398748,2.583170254
31,May,213.2900273,2.600391389
1,Jun,219.4998501,2.617612524
