hour,length,angle
0,307.9980954,0.000717629
1,308.2327391,0.001435258
2,306.9677185,0.002152888
3,307.1098749,0.002870517
4,307.8223696,0.003588146
5,306.7642465,0.004305775
6,308.6687996,0.005023404
7,307.7788663,0.005741034
8,306.9454531,0.006458663
9,308.0015209,0.007176292
10,312.4374854,0.007893921
11,321.50124,0.008611551
12,315.560473,0.00932918
13,315.1432525,0.010046809
14,327.4772892,0.010764438
15,313.6590028,0.011482067
16,307.6339696,0.012199697
17,308.1765617,0.012917326
18,307.780579,0.013634955
19,307.9785704,0.014352584
20,308.1847828,0.015070213
21,308.0080293,0.015787843
22,307.5058575,0.016505472
23,307.8919063,0.017223101
0,307.5890961,0.01794073
1,308.295425,0.01865836
2,308.2152693,0.019375989
3,308.7606018,0.020093618
4,307.2510037,0.020811247
5,307.5051724,0.021528876
6,308.0121398,0.022246506
7,308.224518,0.022964135
8,308.9736651,0.023681764
9,309.0397764,0.024399393
10,308.7027116,0.025117022
11,309.8899744,0.025834652
12,308.5989203,0.026552281
13,310.1681213,0.02726991
14,318.8557609,0.027987539
15,314.273872,0.028705169
16,307.3424633,0.029422798
17,306.7728101,0.030140427
18,307.5747092,0.030858056
19,307.0927476,0.031575685
20,307.1211789,0.032293315
21,307.3688393,0.033010944
22,307.4743433,0.033728573
23,307.0441062,0.034446202
0,308.3505748,0.035163831
1,307.2790924,0.035881461
2,307.4157681,0.03659909
3,307.4137128,0.037316719
4,309.3751285,0.038034348
5,308.25843,0.038751978
6,308.0388584,0.039469607
7,368.965718,0.040187236
8,319.3664963,0.040904865
9,311.8143951,0.041622494
10,334.1257553,0.042340124
11,318.5433594,0.043057753
12,309.1970048,0.043775382
13,309.0661524,0.044493011
14,308.9681844,0.04521064
15,307.0009454,0.04592827
16,307.822027,0.046645899
17,306.915309,0.047363528
18,307.1136429,0.048081157
19,307.8432649,0.048798787
20,307.0115643,0.049516416
21,307.2903964,0.050234045
22,307.9032103,0.050951674
23,307.1126153,0.051669303
0,307.4620117,0.052386933
1,308.724292,0.053104562
2,309.9423838,0.053822191
3,311.1001877,0.05453982
4,306.7313621,0.055257449
5,308.5670636,0.055975079
6,338.3048107,0.056692708
7,313.119151,0.057410337
8,310.6161709,0.058127966
9,310.1903868,0.058845596
10,309.4028746,0.059563225
11,314.1848102,0.060280854
12,319.7919378,0.060998483
13,319.7052738,0.061716112
14,320.2838332,0.062433742
15,319.0917748,0.063151371
16,309.5460587,0.063869
17,309.4597372,0.064586629
18,307.3249935,0.065304258
19,307.8114081,0.066021888
20,307.7439267,0.066739517
21,307.633627,0.067457146
22,307.1739309,0.068174775
23,307.2129811,0.068892405
0,307.456531,0.069610034
1,306.6827206,0.070327663
2,318.9198169,0.071045292
3,308.7763589,0.071762921
4,342.0111533,0.072480551
5,324.2518806,0.07319818
6,308.7492978,0.073915809
7,340.7906636,0.074633438
8,308.7503254,0.075351067
9,308.5752847,0.076068697
10,324.1313046,0.076786326
11,324.7013003,0.077503955
12,309.63101,0.078221584
13,325.4429114,0.078939214
14,337.9365743,0.079656843
15,309.0908157,0.080374472
16,307.046504,0.081092101
17,307.1992793,0.08180973
18,319.3942425,0.08252736
19,320.4496253,0.083244989
20,329.1427456,0.083962618
21,311.6681282,0.084680247
22,334.1997451,0.085397876
23,324.476933,0.086115506
0,326.9662113,0.086833135
1,329.9713632,0.087550764
2,320.7616842,0.088268393
3,306.9129112,0.088986023
4,331.9163367,0.089703652
5,315.827316,0.090421281
6,333.2289711,0.09113891
7,307.0252662,0.091856539
8,331.0072209,0.092574169
9,313.4240166,0.093291798
10,306.9728567,0.094009427
11,316.8994834,0.094727056
12,324.4669992,0.095444685
13,319.334297,0.096162315
14,356.7847992,0.096879944
15,317.9514407,0.097597573
16,307.2379869,0.098315202
17,307.3380102,0.099032832
18,307.5538139,0.099750461
19,306.8848225,0.10046809
20,307.4428292,0.101185719
21,307.6785005,0.101903348
22,306.4908951,0.102620978
23,340.3015086,0.103338607
0,332.6346546,0.104056236
1,313.5010893,0.104773865
2,336.527342,0.105491494
3,306.7471192,0.106209124
4,320.5996602,0.106926753
5,325.0750175,0.107644382
6,312.9598674,0.108362011
7,330.5300549,0.109079641
8,307.8939616,0.10979727
9,307.5490183,0.110514899
10,307.701451,0.111232528
11,310.4411301,0.111950157
12,315.1572969,0.112667787
13,319.608676,0.113385416
14,319.304153,0.114103045
15,311.3324336,0.114820674
16,307.0262938,0.115538303
17,307.5038023,0.116255933
18,308.3036461,0.116973562
19,309.0192237,0.117691191
20,307.7661921,0.11840882
21,307.3095789,0.11912645
22,307.0002603,0.119844079
23,308.3396133,0.120561708
0,306.677925,0.121279337
1,308.3700999,0.121996966
2,308.893852,0.122714596
3,308.7986243,0.123432225
4,309.9947933,0.124149854
5,309.171999,0.124867483
6,309.145623,0.125585112
7,314.6140197,0.126302742
8,318.3964074,0.127020371
9,334.1106833,0.127738
10,309.7526136,0.128455629
11,309.0603291,0.129173259
12,329.172547,0.129890888
13,323.1427182,0.130608517
14,317.3533563,0.131326146
15,322.261006,0.132043775
16,307.0622611,0.132761405
17,307.6425332,0.133479034
18,307.8997849,0.134196663
19,306.6710741,0.134914292
20,307.7100147,0.135631921
21,307.4626968,0.136349551
22,306.7491745,0.13706718
23,308.8167792,0.137784809
0,308.4947865,0.138502438
1,309.8224929,0.139220068
2,309.9221737,0.139937697
3,306.813573,0.140655326
4,310.447981,0.141372955
5,312.133305,0.142090584
6,310.1338668,0.142808214
7,309.4820027,0.143525843
8,318.4457339,0.144243472
9,335.6309003,0.144961101
10,308.8462382,0.14567873
11,316.5004179,0.14639636
12,320.7664799,0.147113989
13,347.7957196,0.147831618
14,335.87308,0.148549247
15,360.06433,0.149266877
16,307.9141718,0.149984506
17,334.8509242,0.150702135
18,306.8221367,0.151419764
19,321.7848677,0.152137393
20,320.7774413,0.152855023
21,314.6232684,0.153572652
22,328.2791883,0.154290281
23,324.6581396,0.15500791
0,314.3122371,0.155725539
1,326.8175466,0.156443169
2,325.1585986,0.157160798
3,315.9848869,0.157878427
4,397.1722867,0.158596056
5,307.6589754,0.159313686
6,323.258156,0.160031315
7,333.3505748,0.160748944
8,319.4086294,0.161466573
9,307.0999411,0.162184202
10,330.6287081,0.162901832
11,320.9654988,0.163619461
12,313.1934834,0.16433709
13,309.5255059,0.165054719
14,313.9261883,0.165772348
15,301.3773756,0.166489978
16,300.2510859,0.167207607
17,302.5358645,0.167925236
18,307.208528,0.168642865
19,307.1838647,0.169360495
20,307.4157681,0.170078124
21,307.5161339,0.170795753
22,306.4936355,0.171513382
23,309.2363975,0.172231011
0,308.3498897,0.172948641
1,308.8517189,0.17366627
2,310.669608,0.174383899
3,308.8828905,0.175101528
4,307.5219572,0.175819157
5,308.7451872,0.176536787
6,308.8212323,0.177254416
7,307.7713303,0.177972045
8,307.8638176,0.178689674
9,313.9302988,0.179407304
10,309.8704493,0.180124933
11,309.3696477,0.180842562
12,309.8077635,0.181560191
13,319.6439582,0.18227782
14,318.6834605,0.18299545
15,330.7876492,0.183713079
16,308.0491347,0.184430708
17,307.6497266,0.185148337
18,307.644931,0.185865966
19,307.3095789,0.186583596
20,307.3575353,0.187301225
21,308.1101078,0.188018854
22,307.2366167,0.188736483
23,309.4066426,0.189454113
0,308.6842141,0.190171742
1,309.9660195,0.190889371
2,311.3526438,0.191607
3,308.4327857,0.192324629
4,307.4726306,0.193042259
5,312.5392215,0.193759888
6,309.7423373,0.194477517
7,314.8147514,0.195195146
8,312.2090076,0.195912775
9,307.354795,0.196630405
10,307.6952852,0.197348034
11,307.9470562,0.198065663
12,308.6992861,0.198783292
13,311.3985449,0.199500922
14,319.0277188,0.200218551
15,307.3750051,0.20093618
16,307.803187,0.201653809
17,307.9223929,0.202371438
18,307.1174109,0.203089068
19,307.2993026,0.203806697
20,307.7446118,0.204524326
21,307.5538139,0.205241955
22,307.5798474,0.205959584
23,308.1149035,0.206677214
0,307.268816,0.207394843
1,307.7925681,0.208112472
2,307.3626735,0.208830101
3,307.9014976,0.20954773
4,308.4632723,0.21026536
5,307.0982284,0.210982989
6,308.4081224,0.211700618
7,309.205911,0.212418247
8,308.3861995,0.213135877
9,308.1354562,0.213853506
10,309.5251634,0.214571135
11,312.6851459,0.215288764
12,309.5878492,0.216006393
13,320.2800652,0.216724023
14,321.2833811,0.217441652
15,311.2238466,0.218159281
16,307.6062234,0.21887691
17,307.2633353,0.219594539
18,307.7744132,0.220312169
19,307.4198786,0.221029798
20,307.4712604,0.221747427
21,307.3568502,0.222465056
22,307.4674924,0.223182686
23,308.3084417,0.223900315
0,307.7041914,0.224617944
1,308.2882315,0.225335573
2,308.1518984,0.226053202
3,307.3626735,0.226770832
4,307.4322102,0.227488461
5,307.6538372,0.22820609
6,307.7103572,0.228923719
7,307.7374183,0.229641348
8,307.1400189,0.230358978
9,308.6859269,0.231076607
10,316.9659373,0.231794236
11,367.7712618,0.232511865
12,341.038324,0.233229495
13,318.77355,0.233947124
14,316.3479851,0.234664753
15,307.2821753,0.235382382
16,307.5795048,0.236100011
17,307.2071578,0.236817641
18,307.799419,0.23753527
19,306.9810778,0.238252899
20,307.5890961,0.238970528
21,307.6045106,0.239688157
22,307.3798008,0.240405787
23,309.2418782,0.241123416
0,311.2731732,0.241841045
1,309.2319444,0.242558674
2,309.9262842,0.243276304
3,310.6569338,0.243993933
4,308.8640505,0.244711562
5,309.454599,0.245429191
6,310.1996355,0.24614682
7,313.9659236,0.24686445
8,310.3280901,0.247582079
9,342.2105148,0.248299708
10,310.8377978,0.249017337
11,309.8896318,0.249734966
12,313.7833468,0.250452596
13,319.879287,0.251170225
14,318.9252977,0.251887854
15,309.0884179,0.252605483
16,307.3434909,0.253323113
17,307.2684735,0.254040742
18,306.9368894,0.254758371
19,308.2303413,0.255476
20,306.9999178,0.256193629
21,307.4702328,0.256911259
22,307.7774961,0.257628888
23,310.0907061,0.258346517
0,313.7559432,0.259064146
1,366.7052601,0.259781775
2,313.0598907,0.260499405
3,310.0057548,0.261217034
4,373.3811299,0.261934663
5,310.255813,0.262652292
6,310.4055054,0.263369922
7,313.7251141,0.264087551
8,310.801488,0.26480518
9,316.4798652,0.265522809
10,315.4052999,0.266240438
11,318.3385172,0.266958068
12,311.9795021,0.267675697
13,319.5953167,0.268393326
14,319.9467684,0.269110955
15,308.2498664,0.269828584
16,307.0499294,0.270546214
17,306.8944138,0.271263843
18,307.0893222,0.271981472
19,307.6887768,0.272699101
20,307.1451571,0.273416731
21,307.99467,0.27413436
22,307.1879753,0.274851989
23,309.5481139,0.275569618
0,310.3167861,0.276287247
1,308.6400258,0.277004877
2,310.4294836,0.277722506
3,309.7752216,0.278440135
4,307.6730197,0.279157764
5,307.832646,0.279875393
6,310.3770741,0.280593023
7,309.2185851,0.281310652
8,309.4313059,0.282028281
9,308.1522409,0.28274591
10,308.3187181,0.28346354
11,309.3514928,0.284181169
12,309.3984216,0.284898798
13,319.8563364,0.285616427
14,318.5341107,0.286334056
15,327.2220928,0.287051686
16,307.656235,0.287769315
17,307.1804393,0.288486944
18,307.592179,0.289204573
19,307.2280531,0.289922202
20,307.3006728,0.290639832
21,308.0326925,0.291357461
22,307.4308401,0.29207509
23,309.1925517,0.292792719
0,309.0637546,0.293510349
1,309.4785772,0.294227978
2,310.2123097,0.294945607
3,309.3124426,0.295663236
4,309.1473357,0.296380865
5,310.2571832,0.297098495
6,324.0038776,0.297816124
7,326.3564803,0.298533753
8,331.4984311,0.299251382
9,308.9130345,0.299969011
10,307.8209994,0.300686641
11,310.2962334,0.30140427
12,311.2509077,0.302121899
13,320.8007344,0.302839528
14,319.2387268,0.303557158
15,308.2484962,0.304274787
16,307.174616,0.304992416
17,307.1383062,0.305710045
18,307.6089637,0.306427674
19,307.6367099,0.307145304
20,307.2667608,0.307862933
21,307.9189674,0.308580562
22,306.8447447,0.309298191
23,308.8767247,0.31001582
0,309.4456928,0.31073345
1,310.1749723,0.311451079
2,310.3784443,0.312168708
3,309.9910253,0.312886337
4,310.2229286,0.313603967
5,309.755354,0.314321596
6,310.5161476,0.315039225
7,319.1253443,0.315756854
8,320.0515874,0.316474483
9,307.5462779,0.317192113
10,307.5226423,0.317909742
11,309.4265103,0.318627371
12,312.9215023,0.319345
13,323.7867038,0.320062629
14,319.4312374,0.320780259
15,322.7792774,0.321497888
16,307.2520313,0.322215517
17,307.6360248,0.322933146
18,307.3852815,0.323650776
19,307.2862858,0.324368405
20,307.2256553,0.325086034
