Month,Week,Value,length,angle,,,,
Jan,1,6005,95,0.099773243,10380,0.54873514,94.87351405,140
Jan,2,6847.531,103.5654971,0.199546485,685,0.635654971,103.5654971,
Jan,3,6261.791,97.52337616,0.299319728,,0.575233762,97.52337616,
Jan,4,8258.92,118.1244875,0.399092971,,0.781244875,118.1244875,
Jan,5,4953.833,84.03131414,0.498866213,,0.440313141,84.03131414,
Feb,5,3513.881,69.17768605,0.598639456,,0.291776861,69.17768605,
Feb,6,9559.535,131.5408038,0.698412698,,0.915408038,131.5408038,
Feb,7,9231.379,128.1557554,0.798185941,,0.881557554,128.1557554,
Feb,8,7460.09,109.8842657,0.897959184,,0.698842657,109.8842657,
Feb,9,5501.684,89.68259627,0.997732426,,0.496825963,89.68259627,
Mar,9,4056.151,74.77139814,1.097505669,,0.347713981,74.77139814,
Mar,10,8546.387,121.089814,1.197278912,,0.81089814,121.089814,
Mar,11,8694.51,122.6177566,1.297052154,,0.826177566,122.6177566,
Mar,12,7690.798,112.2641026,1.396825397,,0.722641026,112.2641026,
Mar,13,7570.656,111.0247942,1.496598639,,0.710247942,111.0247942,
Apr,13,1362.091,46.98119035,1.596371882,,0.069811903,46.98119035,
Apr,14,10247.63,138.6387537,1.696145125,,0.986387537,138.6387537,
Apr,15,6670.948,101.7439793,1.795918367,,0.617439793,101.7439793,
Apr,16,8047.041,115.9388786,1.89569161,,0.759388786,115.9388786,
Apr,17,6774.077,102.8077924,1.995464853,,0.628077924,102.8077924,
Apr,18,889.03,42.10139425,2.095238095,,0.021013942,42.10139425,
May,18,6522.39,100.2115495,2.195011338,,0.602115495,100.2115495,
May,19,5785.655,92.61186032,2.29478458,,0.526118603,92.61186032,
May,20,5339.671,88.01137331,2.394557823,,0.480113733,88.01137331,
May,21,6539.94,100.3925842,2.494331066,,0.603925842,100.3925842,
May,22,3045.035,64.34136921,2.594104308,,0.243413692,64.34136921,
Jun,22,2216.878,55.79862884,2.693877551,,0.157986288,55.79862884,
Jun,23,6378.738,98.72972696,2.793650794,,0.58729727,98.72972696,
Jun,24,4065.881,74.87176662,2.893424036,,0.348717666,74.87176662,
Jun,25,5115.003,85.69384125,2.993197279,,0.456938413,85.69384125,
Jun,26,5016.013,84.67272344,3.092970522,,0.446727234,84.67272344,
Jul,26,1094.111,44.21687928,3.192743764,,0.042168793,44.21687928,
Jul,27,5186.404,86.43036851,3.292517007,,0.464303685,86.43036851,
Jul,28,5569.022,90.37721221,3.392290249,,0.503772122,90.37721221,
Jul,29,5167.98,86.24031826,3.492063492,,0.462403183,86.24031826,
Jul,30,4870.099,83.16756751,3.591836735,,0.431675675,83.16756751,
Jul,31,1400.171,47.37399938,3.691609977,,0.073739994,47.37399938,
Aug,31,4318.706,77.47974836,3.79138322,,0.374797484,77.47974836,
Aug,32,5861.784,93.39715861,3.891156463,,0.533971586,93.39715861,
Aug,33,7713.806,112.5014385,3.990929705,,0.725014385,112.5014385,
Aug,34,4977.12,84.27152801,4.090702948,,0.44271528,84.27152801,
Aug,35,3806.327,72.1943728,4.19047619,,0.321943728,72.1943728,
Sep,35,1531.219,48.72580712,4.290249433,,0.087258071,48.72580712,
Sep,36,5773.305,92.48446558,4.390022676,,0.524844656,92.48446558,
Sep,37,4948.564,83.97696249,4.489795918,,0.439769625,83.97696249,
Sep,38,5132.649,85.87586616,4.589569161,,0.458758662,85.87586616,
Sep,39,4913.71,83.61743082,4.689342404,,0.436174308,83.61743082,
Oct,40,5266.289,87.25441131,4.789115646,,0.472544113,87.25441131,
Oct,41,5666.082,91.37842137,4.888888889,,0.513784214,91.37842137,
Oct,42,7435.53,109.6309204,4.988662132,,0.696309204,109.6309204,
Oct,43,9018.213,125.9568706,5.088435374,,0.859568706,125.9568706,
Oct,44,3412.599,68.13292542,5.188208617,,0.281329254,68.13292542,
Nov,44,3849.873,72.64356562,5.287981859,,0.326435656,72.64356562,
Nov,45,8560.712,121.2375816,5.387755102,,0.812375816,121.2375816,
Nov,46,10167.592,137.8131327,5.487528345,,0.978131327,137.8131327,
Nov,47,10255.367,138.7185637,5.587301587,,0.987185637,138.7185637,
Nov,48,5712.72,91.85950929,5.68707483,,0.518595093,91.85950929,
Dec,48,2449.029,58.19335076,5.786848073,,0.181933508,58.19335076,
Dec,49,10379.593,140,5.886621315,,1,140,
Dec,50,6012.231,94.94907408,5.986394558,,0.549490741,94.94907408,
Dec,51,6526.138,100.2502115,6.0861678,,0.602502115,100.2502115,
Dec,52,7278.744,108.0136159,6.185941043,,0.680136159,108.0136159,
Dec,1,685.315,40,6.285714286,,0,40,
