date,close
2012-04-01,691280
2012-04-02,695155
2012-04-03,492987
2012-04-04,603654
2012-04-05,722275
2012-04-06,646737
2012-04-07,506635
2012-04-08,391628
2012-04-09,336136
2012-04-10,371943
2012-04-11,337342
2012-04-12,563146
2012-04-13,334026
2012-04-14,367007
2012-04-15,330150
2012-04-16,324627
2012-04-17,396310
2012-04-18,517221
2012-04-19,515976
2012-04-20,450880
2012-04-21,271612
2012-04-22,453455
2012-04-23,235510
2012-04-24,331347
2012-04-25,314920
2012-04-26,398557
2012-04-27,362859
2012-04-28,277794
2012-04-29,650773
2012-04-30,331386
2012-05-01,710700
2012-05-02,335560
2012-05-03,339218
2012-05-04,351191
2012-05-05,321737
2012-05-06,289671
2012-05-07,170946
2012-05-08,178728
2012-05-09,462511
2012-05-10,495787
2012-05-11,344437
2012-05-12,232488
2012-05-13,283822
2012-05-14,256944
2012-05-15,309937
2012-05-16,427351
2012-05-17,319657
2012-05-18,389686
2012-05-19,390162
2012-05-20,346613
2012-05-21,423262
2012-05-22,425842
2012-05-23,385406
2012-05-24,332308
2012-05-25,736488
2012-05-26,475347
2012-05-27,328499
2012-05-28,518641
2012-05-29,255736
2012-05-30,389047
2012-05-31,302439
2012-06-01,462060
2012-06-02,345904
2012-06-03,285193
2012-06-04,559891
2012-06-05,247853
2012-06-06,392634
2012-06-07,460628
2012-06-08,286769
2012-06-09,614218
2012-06-10,151888
2012-06-11,158280
2012-06-12,155088
2012-06-13,152582
2012-06-14,200720
2012-06-15,255615
2012-06-16,153628
2012-06-17,198889
2012-06-18,162369
2012-06-19,313547
2012-06-20,351700
2012-06-21,279611
2012-06-22,384953
2012-06-23,376398
2012-06-24,369852
2012-06-25,306560
2012-06-26,325223
2012-06-27,534638
2012-06-28,333843
2012-06-29,597278
2012-06-30,244628
2012-07-01,472571
2012-07-02,239684
2012-07-03,425694
2012-07-04,349047
2012-07-05,257315
2012-07-06,357289
2012-07-07,463793
2012-07-08,261192
2012-07-09,247251
2012-07-10,611810
2012-07-11,289059
2012-07-12,259441
2012-07-13,338093
2012-07-14,491855
2012-07-15,541837
2012-07-16,261240
2012-07-17,300193
2012-07-18,277653
2012-07-19,404342
2012-07-20,376362
2012-07-21,401752
2012-07-22,452558
2012-07-23,303829
2012-07-24,372633
2012-07-25,287112
2012-07-26,475439
2012-07-27,288679
2012-07-28,319421
2012-07-29,305263
2012-07-30,297484
2012-07-31,293496
2012-08-01,274576
2012-08-02,444310
2012-08-03,437459
2012-08-04,279402
2012-08-05,529663
2012-08-06,532078
2012-08-07,285568
2012-08-08,362717
2012-08-09,321522
2012-08-10,551524
2012-08-11,319140
2012-08-12,416905
2012-08-13,445776
2012-08-14,279115
2012-08-15,538516
2012-08-16,758084
2012-08-17,711546
2012-08-18,837631
2012-08-19,343749
2012-08-20,409839
2012-08-21,301273
2012-08-22,262719
2012-08-23,278474
2012-08-24,471640
2012-08-25,297736
2012-08-26,286221
2012-08-27,649924
2012-08-28,347666
2012-08-29,290575
2012-08-30,328474
2012-08-31,255530
2012-09-01,303906
2012-09-02,447007
2012-09-03,446019
2012-09-04,486306
2012-09-05,423828
2012-09-06,296016
2012-09-07,550354
2012-09-08,305947
2012-09-09,309691
2012-09-10,237577
2012-09-11,439573
2012-09-12,350061
2012-09-13,302218
2012-09-14,279085
2012-09-15,250334
2012-09-16,289241
2012-09-17,551614
2012-09-18,393767
2012-09-19,387222
2012-09-20,427561
2012-09-21,248505
2012-09-22,286658
2012-09-23,208192
2012-09-24,437333
2012-09-25,267186
2012-09-26,238749
2012-09-27,259627
2012-09-28,286577
2012-09-29,281122
2012-09-30,278863
2012-10-01,332621
2012-10-02,313604
2012-10-03,262840
2012-10-04,250307
2012-10-05,249524
2012-10-06,323184
2012-10-07,642471
2012-10-08,280207
2012-10-09,538601
2012-10-10,243330
2012-10-11,382301
2012-10-12,352918
2012-10-13,307610
2012-10-14,345167
2012-10-15,437700
2012-10-16,335278
2012-10-17,316937
2012-10-18,319102
2012-10-19,542315
2012-10-20,346635
2012-10-21,931795
2012-10-22,651061
2012-10-23,461453
2012-10-24,431636
2012-10-25,499508
2012-10-26,335078
2012-10-27,425404
2012-10-28,417335
2012-10-29,548199
2012-10-30,572917
2012-10-31,553693
2012-11-01,463528
2012-11-02,288960
2012-11-03,456616
2012-11-04,366930
2012-11-05,270987
2012-11-06,342086
2012-11-07,429485
2012-11-08,413129
2012-11-09,660316
2012-11-10,542853
2012-11-11,590871
2012-11-12,1082460
2012-11-13,468630
2012-11-14,663352
2012-11-15,514763
2012-11-16,637916
2012-11-17,500297
2012-11-18,598995
2012-11-19,554508
2012-11-20,426341
2012-11-21,482831
2012-11-22,520607
2012-11-23,640654
2012-11-24,461440
2012-11-25,1031515
2012-11-26,324922
2012-11-27,482512
2012-11-28,625748
2012-11-29,469147
2012-11-30,419292
2012-12-01,408138
2012-12-02,461165
2012-12-03,737192
2012-12-04,798329
2012-12-05,524355
2012-12-06,472224
2012-12-07,603609
2012-12-08,608623
2012-12-09,868521
2012-12-10,224922
2012-12-11,490981
2012-12-12,361198
2012-12-13,787631
2012-12-14,386182
2012-12-15,255089
2012-12-16,272113
2012-12-17,291487
2012-12-18,526252
2012-12-19,308919
2012-12-20,455222
2012-12-21,727983
2012-12-22,228100
2012-12-23,420907
2012-12-24,452655
2012-12-25,295055
2012-12-26,565746
2012-12-27,587943
2012-12-28,722454
2012-12-29,623867
2012-12-30,469211
2012-12-31,298431
